INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
202073524,3018,,SICK/INJURED/MEDICAL - POLICE,C11,355,0,2020-09-30 00:00:00,2020,9,Wednesday,0,,GIBSON ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202071722,1402,,VANDALISM,C11,355,0,2020-09-30 00:00:00,2020,9,Wednesday,0,,CLAYBOURNE ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202072314,706,,AUTO THEFT - MOTORCYCLE / SCOOTER,A1,355,0,2020-09-30 00:00:00,2020,9,Wednesday,0,,WASHINGTON ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202074413,616,,LARCENY THEFT OF BICYCLE,C6,200,0,2020-09-30 00:00:00,2020,9,Wednesday,0,,G ST,42.3412875043904,-71.054679326494,"(42.3412875043904, -71.054679326494)"
202071874,801,,ASSAULT - SIMPLE,C11,355,0,2020-09-30 00:00:00,2020,9,Wednesday,0,,BAKERSFIELD ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202071640,3005,,SICK ASSIST,C6,914,0,2020-09-30 00:00:00,2020,9,Wednesday,0,,DR. MICHAEL GAVIN WAY & GENERAL LAWRENCE J LOGAN W,42.3270810165413,-71.052540968802,"(42.3270810165413, -71.052540968802)"
202073096,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,355,0,2020-09-30 00:00:00,2020,9,Wednesday,0,,CLEMENTINE PARK,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202071697,3126,,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,A7,29,0,2020-09-30 00:00:00,2020,9,Wednesday,0,,MAVERICK SQ,42.3694314518591,-71.0391717849382,"(42.3694314518591, -71.0391717849382)"
202073701,1402,,VANDALISM,B3,440,0,2020-09-30 00:00:00,2020,9,Wednesday,0,,BLUE HILL AVENUE,,,
202071660,3005,,SICK ASSIST,D14,759,0,2020-09-30 00:00:00,2020,9,Wednesday,0,,FANEUIL ST,42.3517413837921,-71.1659184402985,"(42.3517413837921, -71.1659184402985)"
